"list-image src","list-image src 2","list-image src 3","image href","img-responsive src","product-name","product-desc","r-number","price","price 2","list-image src 4"
"https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Raznie/monster-energy-the-doctor-50x50.webp","","","https://choco-yummy.com.ua/ua/moster-the-doctor","https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Raznie/monster-energy-the-doctor-200x200.webp","Monster The Doctor 500мл","Лімітована версія MONSTER! Monster Energy The Doctor – це відомий енергетичний напій, з нестанд..","0.0","129","грн.",""
"https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Raznie/monster-ultra-fiesta-mango-50x50.webp","","","https://choco-yummy.com.ua/ua/monster-ultra-fiesta","https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Raznie/monster-ultra-fiesta-mango-200x200.webp","Monster Ultra Fiesta","Найпопулярніший енергетик, який вже обов'язково спробували усі геймери, а деякі зібрали колекцію яск..","0.0","99","грн.",""
"https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Raznie/monster-ultra-paradise-1-50x50.webp","","","https://choco-yummy.com.ua/ua/monster-ultra-paradise","https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Raznie/monster-ultra-paradise-200x200.webp","Monster Ultra Paradise 500мл","А тепер, власне, ловіть обновку, заради якої писався цей піст!)⠀MONSTER ENERGY ULTRA PARADISE – чист..","0.0","99","грн.",""
"https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Gazirovki/monster-ultra-watermelon-50x50.webp","","","https://choco-yummy.com.ua/ua/monster-ultra-watermelon","https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Gazirovki/monster-ultra-watermelon-200x200.webp","Monster Ultra Watermelon","Monster Ultra WATERMELON – легендарний енергетичний напій зі смаком соковитого та стиглого кавуна, я..","0.0","149","грн.",""
"https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Raznie/monster-energy-ultra-white-50x50.jpg","https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Raznie/monster-energy-ultra-white-50x50.jpg","","https://choco-yummy.com.ua/ua/moster-ultra-white","https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Raznie/monster-energy-ultra-white-200x200.jpg","Monster Ultra White 500мл","MONSTER без ЦУКРУ! Monster Energy Ultra White – це дієтичний енергетичний напій без цукру! ..","0.0","129","грн.",""
"https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Raznie/napitok-prime-arsenal-hydration-drink-500ml-1-50x50.jpg","https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Raznie/napitok-prime-arsenal-hydration-drink-500ml-4-50x50.jpg","https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Raznie/napitok-prime-arsenal-hydration-drink-500ml-3-50x50.jpg","https://choco-yummy.com.ua/ua/prime-arsenal-hydration-drink-500ml","https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Raznie/napitok-prime-arsenal-hydration-drink-500ml-2-200x200.jpg","Prime Arsenal Hydration Drink Arsenal 500мл","Prime Hydration Arsenal - лімітована версія напою для фанатів футболу!У складі:Амінокислоти, вітамін..","0.0","379","грн.",""
"https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Raznie/voda_monster_tour_water_470ml_5-50x50.jpg","https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Raznie/voda_monster_tour_water_470ml_2-50x50.jpg","https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Raznie/voda_monster_tour_water_470ml_1-50x50.jpg","https://choco-yummy.com.ua/ua/monster-tour-water-473ml","https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Raznie/voda_monster_tour_water_470ml_4-200x200.jpg","Вода Monster Tour Water Deep Well Питна 473мл","Monster Tour Water Deep Well - у цій баночці немає кофеїну, цукру або інших добавок. Немає калорій. ..","0.0","399","грн.","https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Raznie/voda_monster_tour_water_470ml_3-50x50.jpg"
"https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Gazirovki/gazirovka-fanta-orange-usa-355ml-3-50x50.jpg","https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Gazirovki/gazirovka-fanta-orange-usa-355ml-4-50x50.jpg","https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Gazirovki/gazirovka-fanta-orange-usa-355ml-1-50x50.jpg","https://choco-yummy.com.ua/ua/fanta-orange-usa-355ml","https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Gazirovki/gazirovka-fanta-orange-usa-355ml-2-200x200.jpg","Газировка Fanta Orange USA Апельсин 355мл","Справжня американська Фанта. Весела газована вода з насиченим апельсиновим смаком іскриться бульбашк..","0.0","99","грн.",""
"https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Gazirovki/gazirovka-fanta-tutti-frutti-zero-sugar-250ml-3-50x50.jpg","https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Gazirovki/gazirovka-fanta-tutti-frutti-zero-sugar-250ml-1-50x50.jpg","","https://choco-yummy.com.ua/ua/fanta-tutti-frutti-zero-sugar-limited-edition-250ml-","https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Gazirovki/gazirovka-fanta-tutti-frutti-zero-sugar-250ml-2-200x200.jpg","Газировка Fanta Tutti-frutti Zero Sugar Тутти Фрутти Без сахара 250мл","ФАНТАстична!Газована вода легка, освіжаюча, іскриться бульбашками та веселощами)..","0.0","99","грн.",""
"https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Gazirovki/gazirovka-fanta-white-peach-jasmine-china-330ml-2-50x50.jpg","https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Gazirovki/gazirovka-fanta-white-peach-jasmine-china-330ml-3-50x50.jpg","","https://choco-yummy.com.ua/ua/fanta-white-peach-jasmine-china-330ml","https://choco-yummy.com.ua/image/cache/catalog/Products/Napitki/Gazirovki/gazirovka-fanta-white-peach-jasmine-china-330ml-1-200x200.jpg","Газировка Китайська Fanta White Peach Jasmine China Білий Персик Жасмин 330мл","Китайська Fanta White Peach Jasmine - справжній ексклюзив для колекціонерів незвичайних газованих на..","0.0","149","грн.",""
