"list-image src","list-image src 2","list-image src 3","list-image src 4","list-image src 5","image href","img-responsive src","product-name","product-desc","r-number","price","price 2","label-sale","price-old","price-old 2","price-new"
"https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/toblerone-milk-chocolate-with-honey-and-almond-nougat35-50x50.webp","","","","","https://choco-yummy.com.ua/ua/toblerone-milk-chocolate-with-honey-and-almond-nougat35","https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/toblerone-milk-chocolate-with-honey-and-almond-nougat35-200x200.webp","Toblerone Milk Chocolate With Honey & Almond Nougat 35г","Toblerone Milk Chocolate With Honey & Almond Nougat - Ніжний молочний шоколад із різних сортів к..","0.0","49","грн.","","","",""
"https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/toblerone-white-chocolate-with-honey-and-almond-nougat-50x50.webp","","","","","https://choco-yummy.com.ua/ua/toblerone-white-chocolate-with-honey-and-almond-nougat","https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/toblerone-white-chocolate-with-honey-and-almond-nougat-200x200.webp","Toblerone White Chocolate With Honey & Almond Nougat","Шоколад Toblerone White Chocolate With Honey & Almond Nougat ― ексклюзивний швейцарський шо..","0.0","149","грн.","","","",""
"https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/toblerone-fruit-nut-50x50.webp","","","","","https://choco-yummy.com.ua/ua/toblerone-fruit-nut","https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/toblerone-fruit-nut-200x200.webp","Toblerone Родзинки Мед Мигдальний Нуга","Швейцарський шоколад преміум-якості TOBLERONE! ⠀Шоколадка виконана у формі маленьких пірамідок ..","0.0","139","грн.","","","",""
"https://choco-yummy.com.ua/image/cache/catalog/Products/Drugoe/star-wars-mandalorian-christmas-advent-calendar-50g_2-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Drugoe/star-wars-mandalorian-christmas-advent-calendar-50g_1-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Drugoe/star-wars-mandalorian-christmas-advent-calendar-50g_5-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Drugoe/star-wars-mandalorian-christmas-advent-calendar-50g_4-50x50.webp","","https://choco-yummy.com.ua/ua/2023-star-wars-mandalorian-christmas-advent-calendar-50g","https://choco-yummy.com.ua/image/cache/catalog/Products/Drugoe/star-wars-mandalorian-christmas-advent-calendar-50g_3-200x200.webp","Адвент календар 2023 з шоколадками Star Wars Mandalorian Christmas Advent Calendar 50г","У Всесвіті ""Зоряних воєн"" роздають подарунки! Напередодні свят ми вирішили потішити всіх шанувальник..","0.0","399","грн.","","","",""
"https://choco-yummy.com.ua/image/cache/catalog/Products/Drugoe/kinder_uberraschung_advent_calendar_480g_4-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Drugoe/kinder_uberraschung_advent_calendar_480g_5-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Drugoe/kinder_uberraschung_advent_calendar_480g_1-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Drugoe/kinder_uberraschung_advent_calendar_480g_2-50x50.webp","https://choco-yummy.com.ua/image/cache/catalog/Products/Drugoe/kinder_uberraschung_advent_calendar_480g_3-50x50.webp","https://choco-yummy.com.ua/ua/kinder-uberraschung-advent-calendar-480g","https://choco-yummy.com.ua/image/cache/catalog/Products/Drugoe/kinder_uberraschung_advent_calendar_480g_6-200x200.webp","Адвент Календар 3D Кіндер Сюрприз Kinder Uberraschung Новорічний 480г","Це справжня різдвяна магія для любителів яєць Кіндер Сюрприз! В Адвент Календарі Kinder Uberraschung..","0.0","","","-50%","2 499","грн.","1 249"
"https://choco-yummy.com.ua/image/cache/catalog/Products/Drugoe/albert_son_advent_calendar_50g_4-50x50.jpg","https://choco-yummy.com.ua/image/cache/catalog/Products/Drugoe/albert_son_advent_calendar_50g_2-50x50.jpg","https://choco-yummy.com.ua/image/cache/catalog/Products/Drugoe/albert_son_advent_calendar_50g_3-50x50.jpg","","","https://choco-yummy.com.ua/ua/albert-son-advent-calendar-car-50g","https://choco-yummy.com.ua/image/cache/catalog/Products/Drugoe/albert_son_advent_calendar_car_50g-200x200.jpg","Адвент Календар Albert & Son Car Шоколадні фігурки 50г","З Адвент календарем від Albert & Son нудьгувати у грудні вам точно не доведеться) Відкривайте пе..","0.0","249","грн.","","","",""
"https://choco-yummy.com.ua/image/cache/catalog/Products/Drugoe/albert_son_advent_calendar_50g_4-50x50.jpg","https://choco-yummy.com.ua/image/cache/catalog/Products/Drugoe/albert_son_advent_calendar_50g_2-50x50.jpg","https://choco-yummy.com.ua/image/cache/catalog/Products/Drugoe/albert_son_advent_calendar_50g_3-50x50.jpg","","","https://choco-yummy.com.ua/ua/albert-son-advent-calendar-snowman-50g","https://choco-yummy.com.ua/image/cache/catalog/Products/Drugoe/albert_son_advent_calendar_snowman_50g_1-200x200.jpg","Адвент Календар Albert & Son Snowman Шоколадні фігурки 50г","Цей милий сніговик знає як подарувати вам солодкий грудень!Відкривайте вранці одну дверцята і отриму..","0.0","249","грн.","","","",""
"https://choco-yummy.com.ua/image/cache/catalog/Products/Drugoe/albert_son_advent_calendar_50g_4-50x50.jpg","https://choco-yummy.com.ua/image/cache/catalog/Products/Drugoe/albert_son_advent_calendar_50g_2-50x50.jpg","https://choco-yummy.com.ua/image/cache/catalog/Products/Drugoe/albert_son_advent_calendar_50g_3-50x50.jpg","","","https://choco-yummy.com.ua/ua/albert-son-advent-calendar-santa-50g","https://choco-yummy.com.ua/image/cache/catalog/Products/Drugoe/albert_son_advent_calendar_santa_50g_1-200x200.jpg","Адвент Календар Alberts Santa Шоколадні фігурки 50г","Санта з мішком подарунків вже чекає! Але спочатку вам доведеться пройти шоколадний квест)дзвіночок,я..","0.0","249","грн.","","","",""
"","","","","","https://choco-yummy.com.ua/ua/disney-mickey-mouse-advent-calendar-milk-chocolate-50g","https://choco-yummy.com.ua/image/cache/catalog/Products/Advent_Calendar/303349-1-snimek-obrazovky-2025-09-11-072242-200x200.jpg","Адвент Календар Disney Mickey Mouse Advent Milk Chocolate Міккі Маус 50г","Хочете, щоб ваші діти з задоволенням чекали на Санта-Клауса? Покладіть їм під ялинку Адвент-календар..","0.0","179","грн.","","","",""
"https://choco-yummy.com.ua/image/cache/catalog/Products/Advent_Calendar/advent-kalendar-frankford-disney-stitch-merry-stitchmas-50g-1-50x50.jpg","","","","","https://choco-yummy.com.ua/ua/disney-stitch-merry-stitchmas-50g","https://choco-yummy.com.ua/image/cache/catalog/Products/Advent_Calendar/advent-kalendar-frankford-disney-stitch-merry-stitchmas-50g-2-200x200.jpg","Адвент Календар Frankford Disney Stitch Merry Stitchmas Стіч 50г","Адвент-календар Merry Stitchmas — чудовий спосіб для малюків відраховувати дні до Нового року разом ..","0.0","299","грн.","","","",""
"","","","","","https://choco-yummy.com.ua/ua/2448","https://choco-yummy.com.ua/image/cache/catalog/Products/Advent_Calendar/advent-calendar-milka-santa-200x200.jpg","Адвент календар Milka","Милий спосіб наповнити грудень чарівництвом.Такий календар сподобається всім: дітям, дорослим і тим,..","0.0","","","-25%","399","грн.","299"
"https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/milka-alune-hazelnuts-50x50.jpg","","","","","https://choco-yummy.com.ua/ua/2399","https://choco-yummy.com.ua/image/cache/catalog/Products/Shokolad/milka-alune-hazelnuts-200x200.jpg","Адвент Календар Milka Advent з солодощами та іграшками","2399, Адвент Календар Milka Advent з солодощами та іграшками, , 1 299 грн., Milka Advent 143g, Milka..","0.0","1 299","грн.","","","",""
